Word,Length,Consonants,Vowels,Syllables,Origin,Favourite
Seven,5,3,2,2,Middle English,
World,5,4,1,1,Middle English,
About,5,2,3,2,Middle English,
Again,5,2,3,2,Middle English,
Heart,5,3,2,1,Middle English,
Pizza,5,3,2,2,Italian,
Water,5,3,2,2,Middle English,
Happy,5,4,1,2,Middle English,
Sixty,5,4,1,2,Old English,
Board,5,3,2,1,Middle English,
Month,5,4,1,1,Middle English,
Angel,5,3,2,2,Latin,
Death,5,3,2,1,Middle English,
Green,5,3,2,1,Middle English,
Music,5,3,2,2,Anglo Norman,
Fifty,5,4,1,2,Old English,
Three,5,3,2,1,Middle English,
Party,5,4,1,2,Anglo Norman,
Piano,5,2,3,3,Italian,
Kelly,5,4,1,2,Irish,
Mouth,5,3,2,1,Middle English,
Woman,5,3,2,2,Middle English,
Sugar,5,3,2,2,Old French,
Amber,5,3,2,2,Middle French,
Dream,5,3,2,1,Middle English,
Apple,5,3,2,2,Middle English,
Laugh,5,3,2,1,Middle English,
Tiger,5,3,2,2,Middle English,
Faith,5,3,2,1,Middle English,
Earth,5,3,2,1,Middle English,
River,5,3,2,2,Anglo Norman,
Money,5,3,2,2,Middle English,
Peace,5,2,3,1,Middle English,
Forty,5,4,1,2,,
Words,5,4,1,1,,
Smile,5,3,2,1,Middle English,
Abate,5,2,3,2,Middle English,
House,5,2,3,1,Middle English,
Alone,5,2,3,2,Middle English,
Watch,5,4,1,1,Middle English,
Lemon,5,3,2,2,Old French,
South,5,3,2,1,,
Erica,5,2,3,3,,
Anime,5,2,3,2,Japanese,
After,5,3,2,2,Middle English,
Santa,5,3,2,2,Germanic,
Women,5,3,2,2,Old English,
Admin,5,3,2,2,,
Jesus,5,3,2,2,Ancient Greek,
Stone,5,3,2,1,Middle English,
Stone,5,3,2,1,Middle English,
Blood,5,3,2,1,Middle English,
Megan,5,3,2,2,,
Thing,5,4,1,1,Middle English,
Light,5,4,1,1,Middle English,
David,5,3,2,2,Hebrew,
Cough,5,3,2,1,Middle English,
Story,5,4,1,2,Anglo Norman,
Power,5,3,2,2,Middle English,
India,5,2,3,3,Latin,
Point,5,3,2,1,Middle English,
Today,5,3,2,2,Middle English,
Sarah,5,3,2,2,Hebrew,
Anger,5,3,2,2,Middle English,
Night,5,4,1,1,,
Glory,5,4,1,2,Middle English,
April,5,3,2,2,Middle English,
Candy,5,4,1,2,Old French,
Puppy,5,4,1,2,,
Above,5,2,3,2,Middle English,
Phone,5,3,2,1,,
Chris,5,4,1,1,,
Vegan,5,3,2,2,,
Forum,5,3,2,2,Latin,
Jason,5,3,2,2,Ancient Greek,
Irish,5,3,2,2,Middle English,
Birth,5,4,1,1,Middle English,
Other,5,3,2,2,Middle English,
Grace,5,3,2,1,Middle English,
Queen,5,2,3,2,Middle English,
Pasta,5,3,2,2,Italian,
Plant,5,4,1,1,Latin,
Jacob,5,3,2,2,Late Latin,
Smart,5,4,1,1,Middle English,
Knife,5,3,2,1,Middle English,
Magic,5,3,2,2,Middle French,
Jelly,5,4,1,2,Old French,
Black,5,4,1,1,Middle English,
Media,5,2,3,3,Late Latin,
Honor,5,3,2,2,Latin,
Cycle,5,4,1,2,Late Latin,
Truth,5,4,1,1,Middle English,
Zebra,5,3,2,2,Italian,
Train,5,3,2,1,Middle English,
Bully,5,4,1,2,Dutch,
Llama,5,3,2,2,Spanish,
Brain,5,3,2,1,Middle English,
Mango,5,3,2,2,Portuguese,
Under,5,3,2,2,Old English,
Dirty,5,4,1,2,,
Eight,5,3,2,1,,
Fruit,5,3,2,1,Middle English,
Kevin,5,3,2,2,,
Panda,5,3,2,2,French,
Truck,5,4,1,1,Middle English,
Field,5,3,2,1,Middle English,
Bible,5,3,2,2,Middle English,
Radio,5,2,3,3,Latin,
Dance,5,3,2,1,Middle English,
Voice,5,2,3,1,Middle English,
Smith,5,4,1,1,Middle English,
Sorry,5,4,1,2,Middle English,
Paris,5,3,2,2,Ancient Greek,
Being,5,3,2,2,,
Lover,5,3,2,2,Middle English,
Never,5,3,2,2,Old English,
Royal,5,3,2,1,Old French,
Venus,5,3,2,2,Latin,
Metal,5,3,2,2,Middle English,
Henry,5,4,1,2,Old French,
Penny,5,4,1,2,Old English,
Honey,5,3,2,2,Middle English,
Color,5,3,2,2,Middle English,
Cloud,5,3,2,1,Middle English,
Scarf,5,4,1,1,Old Northern French,
State,5,3,2,1,Latin,
Value,5,2,3,2,French,
Ville,5,3,2,2,Old Norse,
Mouse,5,2,3,1,Middle English,
North,5,4,1,1,,
Bread,5,3,2,1,Middle English,
Daily,5,3,2,2,Middle English,
Paper,5,3,2,2,Anglo Norman,
Beard,5,3,2,1,Middle English,
Alive,5,2,3,2,Old English,
Place,5,3,2,1,Middle English,
Chair,5,3,2,1,Middle French,
Badge,5,3,2,1,Late Latin,
Tyler,5,4,1,2,,
Worth,5,4,1,1,Old English,
Crazy,5,4,1,2,,
Photo,5,3,2,2,,
Diana,5,2,3,3,Latin,
Dress,5,4,1,1,Middle English,
Table,5,3,2,2,Middle English,
Cross,5,4,1,1,Middle English,
Logan,5,3,2,2,Scottish Gaelic,
White,5,3,2,1,Middle English,
Clear,5,3,2,1,Middle English,
March,5,4,1,1,Middle English,
Going,5,3,2,3,Middle English,
Ocean,5,2,3,2,Old French,
Belly,5,4,1,2,Old English,
Ninja,5,3,2,2,Japanese,
