Perfect,7,5,2,2,Middle English,
Tuesday,7,4,3,2,Middle English,
Country,7,5,2,2,Middle English,
Pumpkin,7,5,2,2,Middle French,
Special,7,4,3,2,Middle English,
America,7,3,4,4,Latin,
Freedom,7,4,3,2,Middle English,
Picture,7,4,3,2,Middle English,
Husband,7,5,2,2,Middle English,
Monster,7,5,2,2,Middle English,
Seventy,7,5,2,3,,
Melissa,7,4,3,3,Ancient Greek,
Nothing,7,5,2,2,,
Jessica,7,4,3,3,,
Sixteen,7,4,3,2,Middle English,
Morning,7,5,2,2,Middle English,
Journey,7,4,3,2,Middle English,
History,7,5,2,3,Middle English,
Georgia,7,3,4,3,Middle Persian,
Fifteen,7,4,3,2,Middle English,
Amazing,7,4,3,3,,
Rihanna,7,4,3,3,,
January,7,4,3,4,Middle English,
Dolphin,7,5,2,2,Middle English,
Teacher,7,4,3,2,Middle English,
Forever,7,4,3,3,,
Kitchen,7,5,2,2,Middle English,
Holiday,7,4,3,3,Middle English,
Madison,7,4,3,3,,
Welcome,7,4,3,2,Middle English,
Jupiter,7,4,3,3,Latin,
Justice,7,4,3,2,Middle English,
Diamond,7,4,3,3,Old French,
Courage,7,3,4,2,Old French,
Hundred,7,5,2,2,Old English,
Silence,7,4,3,2,Old French,
Someone,7,3,4,2,,
Science,7,4,3,2,Old French,
Revenge,7,4,3,3,Middle French,
Leonine,7,3,4,2,,
Harmony,7,5,2,3,Middle English,
Problem,7,5,2,2,Middle English,
Awesome,7,3,4,3,Old English,
Penguin,7,4,3,2,Welsh,
Youtube,7,3,4,2,,
Blanket,7,5,2,2,Old French,
Yielder,7,4,3,2,,
England,7,5,2,2,Middle English,
Dancing,7,5,2,2,,
Musical,7,4,3,3,Middle English,
Crossed,7,5,2,1,,
Imagine,7,3,4,3,Old French,
Florida,7,4,3,3,Spanish,
Student,7,5,2,2,Latin,
Mercury,7,5,2,3,,
Initial,7,3,4,3,French,
Mystery,7,6,1,3,Middle English,
Natural,7,4,3,3,Old French,
Kingdom,7,5,2,2,Middle English,
Captain,7,4,3,2,Old French,
Healthy,7,5,2,2,,
Library,7,5,2,3,Middle English,
Message,7,4,3,2,Old French,
Magical,7,4,3,3,,
Failure,7,3,4,2,Anglo Norman,
Forward,7,5,2,2,Middle English,
Honesty,7,5,2,3,Old French,
Nuclear,7,4,3,2,,
Fitness,7,5,2,2,English,
Sausage,7,3,4,2,Middle English,
Popcorn,7,5,2,2,,
Vanilla,7,4,3,3,Spanish,
Jasmine,7,4,3,3,French,
Stomach,7,5,2,2,Middle English,
Fortune,7,4,3,2,Old French,
Chicken,7,5,2,2,Middle English,
Friends,7,5,2,2,,
Strange,7,5,2,2,Middle English,
Crooked,7,4,3,1,Middle English,
Cheetah,7,4,3,2,Hindi,
Fashion,7,4,3,2,Middle English,
Uniform,7,4,3,3,Latin,
Probity,7,5,2,3,French,
Company,7,5,2,3,Old French,
Patrick,7,5,2,2,,
Culture,7,4,3,2,Middle French,
General,7,4,3,3,Anglo Norman,
Liberty,7,5,2,3,Middle English,
Anthony,7,5,2,3,Latin,
Garbage,7,4,3,2,Middle English,
Alcohol,7,4,3,3,Arabic,
Goddess,7,5,2,2,,
Matthew,7,5,2,2,Latin,
Lobster,7,5,2,2,Middle English,
Climate,7,4,3,2,French,
Vanessa,7,4,3,3,New Latin,
Capital,7,4,3,3,Latin,
Balance,7,4,3,2,Middle French,
Example,7,4,3,3,Middle English,
Purpose,7,4,3,2,Middle English,
Running,7,5,2,2,,
Jackson,7,5,2,2,,
Michael,7,4,3,2,Latin,
Promise,7,4,3,2,Middle English,
Program,7,5,2,2,French,
Milking,7,5,2,2,,
Endless,7,5,2,2,,
Crystal,7,6,1,2,Old English,
Gravity,7,5,2,3,Latin,
Funeral,7,4,3,3,Middle French,
Chimney,7,5,2,2,Old French,
Measure,7,3,4,2,Middle English,
Project,7,5,2,2,Latin,
Volcano,7,4,3,3,Italian,
Respect,7,5,2,2,Middle English,
Working,7,5,2,2,Middle English,
Whisper,7,5,2,2,Old English,
Quarter,7,4,3,2,French,
Abigail,7,3,4,3,,
Cherish,7,5,2,2,Old French,
Element,7,4,3,3,Middle English,
Thunder,7,5,2,2,Old English,
Gagging,7,5,2,2,,
Soldier,7,4,3,2,Middle English,
Because,7,3,4,2,Middle English,
Ireland,7,4,3,3,Irish,
Snowman,7,5,2,2,,
Slavery,7,5,2,3,,
October,7,4,3,3,Middle English,
Thirsty,7,6,1,2,,
Unicorn,7,4,3,3,Anglo Norman,
Success,7,5,2,2,Latin,
Sparkle,7,5,2,2,Middle English,
Cooking,7,4,3,2,,
Rebecca,7,4,3,3,Latin,
Victory,7,5,2,3,Middle English,
Villain,7,4,3,2,Middle English,
Giraffe,7,4,3,3,French,
Flowers,7,5,2,2,,
Charles,7,5,2,1,French,
Panther,7,5,2,2,Old French,
Octopus,7,4,3,3,Ancient Greek,
Station,7,4,3,2,Middle English,
Cupcake,7,4,3,2,,
English,7,5,2,2,Middle English,
Faction,7,4,3,2,Middle French,
Marathi,7,4,3,3,Marathi,
Miracle,7,4,3,3,Old French,
College,7,4,3,3,Old French,
Natalie,7,3,4,3,,
Biscuit,7,4,3,2,Old French,
Spanish,7,5,2,2,Middle English,
Medical,7,4,3,3,,
Reality,7,4,3,3,Medieval Latin,
Awkward,7,5,2,2,,
Biggest,7,5,2,2,,
Cocaine,7,3,4,2,Quechua,
Brother,7,5,2,2,Middle English,
Vacuole,7,3,4,2,Latin,
Central,7,5,2,2,Latin,
Without,7,4,3,2,Old English,
Counter,7,4,3,2,Anglo Norman,
Weather,7,4,3,2,Middle English,
Destiny,7,5,2,3,Old French,
Dracula,7,4,3,3,Romanian,
Quality,7,4,3,3,Middle English,
Promote,7,4,3,2,Latin,
Article,7,4,3,3,Middle English,
Walking,7,5,2,2,,
Species,7,4,3,2,Latin,
Century,7,5,2,3,Latin,
Serious,7,3,4,3,Middle English,
Stretch,7,6,1,1,Middle English,
Warrior,7,4,3,3,Middle English,
Service,7,4,3,2,Old French,
Montana,7,4,3,3,Spanish,
Braless,7,5,2,2,,
British,7,5,2,2,Old English,
Dentist,7,5,2,2,French,
Tractor,7,5,2,2,Latin,
Wedding,7,5,2,2,Middle English,
Abolish,7,4,3,3,Middle English,
Fantasy,7,5,2,3,Old French,
Cabbage,7,4,3,2,Anglo Norman,
Ability,7,4,3,4,Middle English,
Curious,7,3,4,3,Old French,
Evening,7,4,3,3,Old English,
